SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Customer_Lifetime_Value,Avg_Monthly_Spend,Services_Count,Price_Per_Service,Partner_encoded,Dependents_encoded,PhoneService_encoded,PaperlessBilling_encoded,OnlineSecurity_encoded,OnlineBackup_encoded,DeviceProtection_encoded,TechSupport_encoded,StreamingTV_encoded,StreamingMovies_encoded,MultipleLines_encoded,Contract_encoded,gender_Female,gender_Male,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_binary
-0.43991649313097614,-1.2774445836787656,-1.1603229160349193,-0.9926105235902257,-0.9934480627412883,-1.4411146220652715,-0.5617762440782015,-0.7497007960178638,1,0,0,1,0,1,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,0
-0.43991649313097614,0.06632741908223598,-0.2596289419448806,-0.17216470898960817,-0.15158796287645643,-0.1636844802879181,-0.02051905022830094,-0.46171877428806724,0,0,1,0,1,0,1,0,0,0,0,1,False,True,True,False,False,False,False,False,True,0
-0.43991649313097614,-1.2367242199587352,-0.3626603559551803,-0.9580659010627455,-0.959070655112199,-0.7502488189553651,-0.02051905022830094,-0.5350447921412393,0,0,1,1,1,1,0,0,0,0,0,0,False,True,True,False,False,False,False,False,True,1
-0.43991649313097614,0.5142514200025698,-0.7465354629935549,-0.1936723762720431,-0.1660719573560215,-0.6205359650552856,0.5207381436215996,-1.0583796776255718,0,0,0,0,1,0,1,1,0,0,0,1,False,True,True,False,False,True,False,False,False,0
-0.43991649313097614,-1.2367242199587352,0.19736523310080326,-0.9388744441030343,-0.9441892339548411,-0.2760450724420566,-1.103033437928102,3.208130151492461,0,0,1,1,0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,True,False,1
-0.43991649313097614,-0.9924020376385531,1.1595456961969886,-0.6437892489880273,-0.654597661403053,1.0522704795728086,0.5207381436215996,-0.0409811799128101,0,0,1,1,0,0,1,0,1,1,1,0,True,False,False,True,False,False,False,True,False,1
-0.43991649313097614,-0.4223169455581282,0.8089065291619363,-0.14573785216462656,-0.14103407665506634,0.8426349802396388,-0.02051905022830094,0.2987429915117649,0,1,1,1,0,1,0,0,1,0,1,0,False,True,False,True,False,False,True,False,False,0
-0.43991649313097614,-0.9109613101984924,-1.1636465100352518,-0.8725867105812734,-0.8752577846176436,-1.0316493494098147,-0.5617762440782015,-0.7532488291397915,0,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,True,0
-0.43991649313097614,-0.1779947632379461,1.330710787214099,0.33808539553347106,0.28915822279591286,1.505855854705812,1.0619953374715,-0.32145319820119306,1,0,1,1,0,0,1,1,1,1,1,0,True,False,False,True,False,False,False,True,False,1
-0.43991649313097614,1.2064976032430856,-0.28621769394753876,0.5330441272690194,0.5306611673347553,-0.1186000846834509,-0.02051905022830094,-0.48064161760501506,0,1,1,0,1,1,0,0,0,0,0,1,False,True,True,False,False,True,False,False,False,0
-0.43991649313097614,-0.7888002190384014,-0.4922805219681379,-0.7466069281710316,-0.7198860328604819,-0.5569465528274032,-0.5617762440782015,-0.0365461385104005,1,1,1,1,1,0,0,0,0,0,0,0,False,True,True,False,False,False,False,False,True,0
-0.43991649313097614,-0.6666391278783103,-1.5225946620711341,-0.8616012559077836,-0.8727407489916217,-1.3005367771303424,-1.103033437928102,-0.4640841297026858,0,0,1,0,0,0,0,0,0,0,0,2,False,True,False,False,True,False,True,False,False,0
-0.43991649313097614,1.0436161483629645,1.182810854199314,1.5006244452274227,1.5635289443988487,1.2198169270063828,0.5207381436215996,-0.028563063986063425,1,0,1,0,0,0,1,0,1,1,1,1,False,True,False,True,False,False,True,False,False,0
